time,bpm,spo2,audio,temperature,humidity
2026-03-03T22:02:36.161151,0,0,0,,
2026-03-03T22:02:36.282041,0,0,0,,
2026-03-03T22:02:36.401953,0,0,5,,
2026-03-03T22:02:36.522725,0,0,4,,
2026-03-03T22:02:36.642971,0,0,2,,
2026-03-03T22:02:36.763590,0,0,4,,
2026-03-03T22:02:36.883135,0,0,6,,
2026-03-03T22:02:37.003463,0,0,4,,
2026-03-03T22:02:37.124497,0,0,7,,
2026-03-03T22:02:37.244187,0,0,5,,
2026-03-03T22:02:37.364511,0,0,4,,
2026-03-03T22:02:37.484878,0,0,1,,
2026-03-03T22:02:37.605571,0,0,1,,
2026-03-03T22:02:37.725597,0,0,0,,
2026-03-03T22:02:37.845765,0,0,2,,
2026-03-03T22:02:37.966254,0,0,8,,
2026-03-03T22:02:38.085808,0,0,7,,
2026-03-03T22:02:38.206895,0,0,5,,
2026-03-03T22:02:38.327595,0,0,4,,
2026-03-03T22:02:38.447151,0,0,2,,
2026-03-03T22:02:38.566645,0,0,0,,
2026-03-03T22:02:38.688331,0,0,3,,
2026-03-03T22:02:38.808334,0,0,7,,
2026-03-03T22:02:38.928559,0,0,6,,
2026-03-03T22:02:39.049690,0,0,7,,
2026-03-03T22:02:39.169382,0,0,7,,
2026-03-03T22:02:39.289101,0,0,3,,
2026-03-03T22:02:39.410274,0,0,1,,
2026-03-03T22:02:39.529838,0,0,3,,
2026-03-03T22:02:39.650127,0,0,4,,
2026-03-03T22:02:39.770931,0,0,9,,
2026-03-03T22:02:39.890911,0,0,5,,
2026-03-03T22:02:40.010693,0,0,10,,
2026-03-03T22:02:40.131921,0,0,3,,
2026-03-03T22:02:40.251879,0,0,2,,
2026-03-03T22:02:40.372681,0,0,4,,
2026-03-03T22:02:40.492575,0,0,0,,
2026-03-03T22:02:40.613484,0,0,4,,
2026-03-03T22:02:40.733241,0,0,7,,
2026-03-03T22:02:40.853306,0,0,5,,
2026-03-03T22:02:40.974129,0,0,6,,
2026-03-03T22:02:41.093685,0,0,5,,
2026-03-03T22:02:41.214284,0,0,4,,
2026-03-03T22:02:41.334675,0,0,0,,
2026-03-03T22:02:41.455759,0,0,2,,
2026-03-03T22:02:41.575109,0,0,3,,
2026-03-03T22:02:41.696079,0,0,5,,
2026-03-03T22:02:41.816695,0,0,8,,
2026-03-03T22:02:41.936892,0,0,6,,
2026-03-03T22:02:42.057706,0,0,3,,
2026-03-03T22:02:42.177537,0,0,1,,
2026-03-03T22:02:42.297788,0,0,6,,
2026-03-03T22:02:42.417589,0,0,1,,
2026-03-03T22:02:42.537684,0,0,1,,
2026-03-03T22:02:42.658524,0,0,8,,
2026-03-03T22:02:42.778522,0,0,8,,
2026-03-03T22:02:42.899711,0,0,9,,
2026-03-03T22:02:43.019466,0,0,4,,
2026-03-03T22:02:43.139036,0,0,5,,
2026-03-03T22:02:43.260398,0,0,1,,
2026-03-03T22:02:43.380953,0,0,2,,
2026-03-03T22:02:43.500575,0,0,6,,
2026-03-03T22:02:43.621656,0,96,7,,
2026-03-03T22:02:43.741725,0,98,7,,
2026-03-03T22:02:43.861904,0,96,5,,
2026-03-03T22:02:43.981538,0,96,7,,
2026-03-03T22:02:44.102167,0,98,3,,
2026-03-03T22:02:44.222229,0,97,4,,
2026-03-03T22:02:44.342784,0,98,3,,
2026-03-03T22:02:44.463492,0,98,3,,
2026-03-03T22:02:44.583475,0,97,7,,
2026-03-03T22:02:44.703446,0,97,8,,
2026-03-03T22:02:44.823938,0,96,6,,
2026-03-03T22:02:44.944087,0,98,8,,
2026-03-03T22:02:45.064389,0,98,3,,
2026-03-03T22:02:45.185411,0,98,2,,
2026-03-03T22:02:45.305844,0,96,0,,
2026-03-03T22:02:45.425941,0,96,2,,
2026-03-03T22:02:45.546535,0,97,8,,
2026-03-03T22:02:45.666244,0,96,7,,
2026-03-03T22:02:45.786377,0,97,8,,
2026-03-03T22:02:45.907706,0,97,6,,
2026-03-03T22:02:46.026975,0,97,2,,
2026-03-03T22:02:46.147494,0,97,2,,
2026-03-03T22:02:46.267796,0,98,0,,
2026-03-03T22:02:46.388108,0,97,5,,
2026-03-03T22:02:46.508056,0,96,4,,
2026-03-03T22:02:46.627565,0,98,8,,
2026-03-03T22:02:46.748763,0,97,3,,
2026-03-03T22:02:46.868600,0,96,1,,
2026-03-03T22:02:46.989407,0,97,1,,
2026-03-03T22:02:47.110031,0,98,1,,
2026-03-03T22:02:47.229990,0,98,2,,
2026-03-03T22:02:47.346766,0,96,10,,
2026-03-03T22:02:47.471011,0,98,2,,
2026-03-03T22:02:47.591702,0,96,6,,
2026-03-03T22:02:47.710953,0,97,3,,
2026-03-03T22:02:47.832300,0,97,3,,
2026-03-03T22:02:47.952386,0,97,6,,
2026-03-03T22:02:48.072462,0,98,8,,
2026-03-03T22:02:48.193747,0,98,8,,
2026-03-03T22:02:48.313374,0,98,4,,
